Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
1047,preprint,2025,"Zeng, Shuang; Chang, Xinyuan; Xie, Mengwei; Liu, Xinran; Bai, Yifan; Pan, Zheng; Xu, Mu; Wei, Xing; Guo, Ning",FutureSightDrive: Thinking Visually with Spatio-Temporal CoT for Autonomous Driving,,10.48550/arXiv.2505.17685,http://arxiv.org/abs/2505.17685,
1048,preprint,2025,"Yan, Tianyi; Tang, Tao; Gui, Xingtai; Li, Yongkang; Zhesng, Jiasen; Huang, Weiyao; Kong, Lingdong; Han, Wencheng; Zhou, Xia; Zhang, Xueyang; Zhan, Yifei; Zhan, Kun; Xu, Cheng-zhong; Shen, Jianbing",AD-R1: Closed-Loop Reinforcement Learning for End-to-End Autonomous Driving with Impartial World Models,,10.48550/arXiv.2511.20325,http://arxiv.org/abs/2511.20325,
1486,preprint,2025,"Yang, Muzhou; Quan, Wuzhou; Wei, Mingqiang","Perceive, Act and Correct: Confidence Is Not Enough for Hyperspectral Classification",,10.48550/arXiv.2511.10068,http://arxiv.org/abs/2511.10068,
1487,preprint,2025,"Liu, Jiaqi; Fu, Ronghao; Sun, Lang; Liu, Haoran; Yang, Xiao; Zhang, Weipeng; Na, Xu; Duan, Zhuoran; Yang, Bo",SkyMoE: A Vision-Language Foundation Model for Enhancing Geospatial Interpretation with Mixture of Experts,,10.48550/arXiv.2512.02517,http://arxiv.org/abs/2512.02517,
1719,preprint,2025,"Danish, Muhammad Sohail; Munir, Muhammad Akhtar; Shah, Syed Roshaan Ali; Kuckreja, Kartik; Khan, Fahad Shahbaz; Fraccaro, Paolo; Lacoste, Alexandre; Khan, Salman",GEOBench-VLM: Benchmarking Vision-Language Models for Geospatial Tasks,,10.48550/arXiv.2411.19325,http://arxiv.org/abs/2411.19325,
1748,journalArticle,2025,"Liu, Dongyang; Liang, Xuejian; Qi, Yunxiao; Xi, Yunqiao; Jin, Jing; Zhang, Junping",VLPRSDet: A vision–language pretrained model for remote sensing object detection,Neurocomputing,10.1016/j.neucom.2025.131712,https://linkinghub.elsevier.com/retrieve/pii/S0925231225023847,
2073,journalArticle,2025,"Li, Jinpeng; Wang, Haiping; Chen, Jiabin; Liu, Yuan; Dou, Zhiyang; Ma, Yuexin; Yang, Sibei; Li, Yuan; Wang, Wenping; Dong, Zhen; Yang, Bisheng",CITYANCHOR: CITY-SCALE 3D VISUAL GROUNDING WITH MULTI-MODALITY LLMS,,,,
2074,journalArticle,2025,"Li, Jinpeng; Wang, Haiping; Chen, Jiabin; Liu, Yuan; Dou, Zhiyang; Ma, Yuexin; Yang, Sibei; Li, Yuan; Wang, Wenping; Dong, Zhen; Yang, Bisheng",CITYANCHOR: CITY-SCALE 3D VISUAL GROUNDING WITH MULTI-MODALITY LLMS,,,,
2077,preprint,2025,"Lee, Jungdae; Miyanishi, Taiki; Kurita, Shuhei; Sakamoto, Koya; Azuma, Daichi; Matsuo, Yutaka; Inoue, Nakamasa",CityNav: A Large-Scale Dataset for Real-World Aerial Navigation,,10.48550/arXiv.2406.14240,http://arxiv.org/abs/2406.14240,
2178,journalArticle,2025,"Wang, Xiangyu; Yang, Donglin; Wang, Ziqin; Kwan, Hohin; Chen, Jinyu; Wu, Wenjun; Li, Hongsheng; Liao, Yue; Liu, Si","TOWARDS REALISTIC UAV VISION-LANGUAGE NAVI- GATION: PLATFORM, BENCHMARK, AND METHODOL-",,,,
2458,preprint,2025,"Danish, Muhammad Sohail; Munir, Muhammad Akhtar; Shah, Syed Roshaan Ali; Kuckreja, Kartik; Khan, Fahad Shahbaz; Fraccaro, Paolo; Lacoste, Alexandre; Khan, Salman",GEOBench-VLM: Benchmarking Vision-Language Models for Geospatial Tasks,,10.48550/arXiv.2411.19325,http://arxiv.org/abs/2411.19325,
