Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Conference Name,Manual Tags
1057,preprint,2026,"Zhang, Yifan; Liu, Yifeng; Wang, Mengdi; Gu, Quanquan",Deep Delta Learning,,10.48550/arXiv.2601.00417,http://arxiv.org/abs/2601.00417,,2026,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Computation and Language
37,preprint,2025,"Yang, Mingzhao; Su, Shangchao; Li, Bin; Xue, Xiangyang",One-Shot Heterogeneous Federated Learning with Local Model-Guided Diffusion Models,,10.48550/arXiv.2311.08870,http://arxiv.org/abs/2311.08870,,2025,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning
1053,preprint,2022,"Yang, Yuzhe; Wang, Hao; Katabi, Dina","On Multi-Domain Long-Tailed Recognition, Imbalanced Domain Generalization and Beyond",,10.48550/arXiv.2203.09513,http://arxiv.org/abs/2203.09513,,2022,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Artificial Intelligence
1051,preprint,2021,"Yang, Yuzhe; Zha, Kaiwen; Chen, Ying-Cong; Wang, Hao; Katabi, Dina",Delving into Deep Imbalanced Regression,,10.48550/arXiv.2102.09554,http://arxiv.org/abs/2102.09554,,2021,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Artificial Intelligence
36,webpage,,,Federated Learning Resources | Awesome-FL,,,https://youngfish42.github.io/Awesome-FL/,,,,
38,webpage,,,Zichen Chen,,,https://chen-zichen.github.io/,,,,
